step,lane,answer_ce,answer_acc,tail_gate,fill_gate
25,exact,2.90809,0.03125,0,0
25,kimi,2.85214,0.03125,0,0
25,srd,2.83157,0.03125,0.945585,0.927832
25,srd_f,2.91199,0,0.925053,0.925739
50,exact,2.28679,0.09375,0,0
50,kimi,2.28295,0.09375,0,0
50,srd,2.29811,0.09375,0.942457,0.866483
50,srd_f,2.34148,0.09375,0.863849,0.865522
75,exact,2.13658,0.125,0,0
75,kimi,2.13955,0.125,0,0
75,srd,2.12633,0.125,0.925103,0.782276
75,srd_f,2.16137,0.125,0.865727,0.873189
100,exact,2.23336,0.15625,0,0
100,kimi,2.21499,0.15625,0,0
100,srd,2.21845,0.125,0.876434,0.686335
100,srd_f,2.22147,0.125,0.841819,0.846947
125,exact,2.13085,0.03125,0,0
125,kimi,2.09568,0.21875,0,0
125,srd,2.09248,0.25,0.840205,0.565561
125,srd_f,2.08552,0.1875,0.827448,0.83207
150,exact,2.19989,0.125,0,0
150,kimi,2.19588,0.125,0,0
150,srd,2.19111,0.125,0.798408,0.446076
150,srd_f,2.19037,0.125,0.811743,0.813696
175,exact,2.09163,0.125,0,0
175,kimi,2.09587,0.09375,0,0
175,srd,2.09455,0.09375,0.763073,0.362759
175,srd_f,2.11337,0.09375,0.804399,0.806757
200,exact,2.16364,0.15625,0,0
200,kimi,2.16632,0.15625,0,0
200,srd,2.17464,0.15625,0.729977,0.325094
200,srd_f,2.16004,0.15625,0.789125,0.788041
225,exact,2.15414,0.15625,0,0
225,kimi,2.16098,0.15625,0,0
225,srd,2.15158,0.15625,0.689689,0.306981
225,srd_f,2.17006,0.15625,0.816654,0.811516
250,exact,2.05996,0.15625,0,0
250,kimi,2.04176,0.21875,0,0
250,srd,2.04165,0.21875,0.65634,0.299992
250,srd_f,2.04088,0.21875,0.76501,0.774486
275,exact,2.0626,0.1875,0,0
275,kimi,2.0776,0.1875,0,0
275,srd,2.07984,0.1875,0.64015,0.293886
275,srd_f,2.07472,0.1875,0.767999,0.764066
300,exact,2.19706,0.15625,0,0
300,kimi,2.22595,0.15625,0,0
300,srd,2.2358,0.15625,0.618759,0.291013
300,srd_f,2.25552,0.15625,0.75157,0.75212
325,exact,2.20501,0.03125,0,0
325,kimi,2.19581,0.03125,0,0
325,srd,2.17952,0.03125,0.606993,0.290432
325,srd_f,2.17872,0.03125,0.732885,0.740873
350,exact,2.09515,0.0625,0,0
350,kimi,2.09098,0.0625,0,0
350,srd,2.09573,0.0625,0.595633,0.287808
350,srd_f,2.09552,0.0625,0.739494,0.731739
375,exact,2.13824,0.15625,0,0
375,kimi,2.13421,0.15625,0,0
375,srd,2.14119,0.15625,0.585012,0.287649
375,srd_f,2.13464,0.15625,0.719566,0.724223
400,exact,2.25423,0.09375,0,0
400,kimi,2.27447,0.09375,0,0
400,srd,2.24272,0.09375,0.574015,0.286155
400,srd_f,2.24973,0.09375,0.858141,0.836572
425,exact,2.01785,0.1875,0,0
425,kimi,2.01613,0.1875,0,0
425,srd,2.01792,0.1875,0.565015,0.285876
425,srd_f,2.02401,0.1875,0.765038,0.757031
450,exact,2.25398,0.0625,0,0
450,kimi,2.26194,0.0625,0,0
450,srd,2.26307,0.0625,0.555232,0.286165
450,srd_f,2.2578,0.0625,0.781295,0.774686
475,exact,2.13665,0.125,0,0
475,kimi,2.13335,0.125,0,0
475,srd,2.1384,0.125,0.542152,0.286465
475,srd_f,2.1336,0.15625,0.734809,0.732947
500,exact,2.14923,0.0625,0,0
500,kimi,2.15194,0.0625,0,0
500,srd,2.23984,0.0625,0.656016,0.722052
500,srd_f,2.15945,0.0625,0.710354,0.717118
525,exact,2.18393,0.15625,0,0
525,kimi,2.18084,0.15625,0,0
525,srd,2.46557,0.125,0.928725,0.731274
525,srd_f,2.18794,0.15625,0.69823,0.701337
550,exact,3.05099,0.09375,0,0
550,kimi,2.06479,0.1875,0,0
550,srd,2.0659,0.1875,0.832362,0.750871
550,srd_f,2.06588,0.1875,0.694191,0.694046
575,exact,2.24036,0.15625,0,0
575,kimi,2.22849,0.15625,0,0
575,srd,2.28024,0.1875,0.764627,0.633783
575,srd_f,2.22952,0.15625,0.693477,0.685495
600,exact,2.08595,0.21875,0,0
600,kimi,2.22071,0.125,0,0
600,srd,2.10287,0.125,0.740105,0.551979
600,srd_f,2.08684,0.21875,0.665241,0.676953
625,exact,2.12637,0.125,0,0
625,kimi,2.07817,0.125,0,0
625,srd,2.08443,0.125,0.804128,0.454012
625,srd_f,2.10831,0.125,0.755137,0.759434
650,exact,2.12087,0.25,0,0
650,kimi,2.114,0.21875,0,0
650,srd,2.10822,0.21875,0.778159,0.3867
650,srd_f,2.13199,0.21875,0.704516,0.695265
675,exact,2.18956,0.0625,0,0
675,kimi,2.13665,0.09375,0,0
675,srd,2.13819,0.09375,0.742223,0.341418
675,srd_f,2.13307,0.09375,0.682515,0.682015
700,exact,2.11958,0.0625,0,0
700,kimi,2.06985,0.21875,0,0
700,srd,2.08688,0.09375,0.723117,0.3428
700,srd_f,2.09184,0.1875,0.690786,0.698176
725,exact,2.17931,0.09375,0,0
725,kimi,2.18211,0.03125,0,0
725,srd,2.20007,0.03125,0.693851,0.308403
725,srd_f,2.19423,0.03125,0.708358,0.695593
750,exact,2.17338,0.03125,0,0
750,kimi,2.15868,0.09375,0,0
750,srd,2.15347,0.09375,0.675448,0.297401
750,srd_f,2.16925,0.09375,0.67113,0.663101
775,exact,2.14183,0.125,0,0
775,kimi,2.14,0.125,0,0
775,srd,2.1498,0.125,0.648653,0.289137
775,srd_f,2.14727,0.125,0.649006,0.652575
800,exact,2.1317,0.1875,0,0
800,kimi,2.12983,0.1875,0,0
800,srd,2.12678,0.1875,0.623262,0.287767
800,srd_f,2.12522,0.125,0.680311,0.676917
825,exact,2.11232,0.09375,0,0
825,kimi,2.113,0.09375,0,0
825,srd,2.11249,0.09375,0.589282,0.288902
825,srd_f,2.11863,0.125,0.71612,0.709912
850,exact,2.12313,0.125,0,0
850,kimi,2.12437,0.125,0,0
850,srd,2.126,0.125,0.549197,0.285397
850,srd_f,2.11984,0.125,0.657922,0.651729
875,exact,2.08822,0.125,0,0
875,kimi,2.0903,0.125,0,0
875,srd,2.08533,0.125,0.490482,0.28394
875,srd_f,2.09499,0.125,0.64985,0.637877
900,exact,2.08786,0.09375,0,0
900,kimi,2.08837,0.09375,0,0
900,srd,2.08328,0.09375,0.426965,0.28356
900,srd_f,2.08453,0.09375,0.619932,0.624677
925,exact,2.11405,0.125,0,0
925,kimi,2.12236,0.125,0,0
925,srd,2.11705,0.125,0.400697,0.283461
925,srd_f,2.11858,0.125,0.622377,0.619555
950,exact,2.17245,0.03125,0,0
950,kimi,2.17623,0.03125,0,0
950,srd,2.17347,0.03125,0.394602,0.28173
950,srd_f,2.17194,0.03125,0.606007,0.613662
975,exact,2.14321,0.0625,0,0
975,kimi,2.13938,0.0625,0,0
975,srd,2.13481,0.0625,0.350971,0.281675
975,srd_f,2.13615,0.0625,0.608101,0.612299
1000,exact,2.08458,0.21875,0,0
1000,kimi,2.09659,0.125,0,0
1000,srd,2.09359,0.21875,0.609056,0.369998
1000,srd_f,2.09224,0.21875,0.610696,0.606368
1025,exact,2.13179,0.0625,0,0
1025,kimi,2.12137,0.0625,0,0
1025,srd,2.13526,0.0625,0.569894,0.371484
1025,srd_f,2.13054,0.0625,0.5981,0.603879
1050,exact,2.13154,0.03125,0,0
1050,kimi,2.13526,0.09375,0,0
1050,srd,2.13038,0.09375,0.50461,0.328852
1050,srd_f,2.13404,0.09375,0.607241,0.603269
1075,exact,2.22089,0.03125,0,0
1075,kimi,2.20167,0.03125,0,0
1075,srd,2.21431,0.03125,0.461914,0.304506
1075,srd_f,2.20948,0.03125,0.602921,0.60156
1100,exact,2.17996,0.0625,0,0
1100,kimi,2.17638,0.0625,0,0
1100,srd,2.17277,0.0625,0.433024,0.293419
1100,srd_f,2.17983,0.0625,0.614873,0.632625
1125,exact,2.0723,0.15625,0,0
1125,kimi,2.08468,0.15625,0,0
1125,srd,2.075,0.15625,0.416162,0.288941
1125,srd_f,2.07575,0.15625,0.608849,0.606547
1150,exact,2.14274,0.09375,0,0
1150,kimi,2.13427,0.09375,0,0
1150,srd,2.14222,0.09375,0.408801,0.285608
1150,srd_f,2.12341,0.09375,0.601958,0.603222
1175,exact,2.0976,0.0625,0,0
1175,kimi,2.11213,0.0625,0,0
1175,srd,2.0871,0.15625,0.398445,0.285156
1175,srd_f,2.12254,0.0625,0.682947,0.670755
1200,exact,2.06636,0.125,0,0
1200,kimi,2.07156,0.125,0,0
1200,srd,2.0727,0.125,0.394203,0.285345
1200,srd_f,2.08825,0.125,0.780841,0.776225
1225,exact,2.06258,0.21875,0,0
1225,kimi,2.06335,0.21875,0,0
1225,srd,2.07401,0.21875,0.38454,0.284086
1225,srd_f,2.06494,0.125,0.730272,0.73051
1250,exact,2.10421,0.15625,0,0
1250,kimi,2.11651,0.15625,0,0
1250,srd,2.1073,0.15625,0.368078,0.284255
1250,srd_f,2.11029,0.15625,0.671893,0.663257
1275,exact,2.07359,0.09375,0,0
1275,kimi,2.08315,0.125,0,0
1275,srd,2.09027,0.125,0.357928,0.283982
1275,srd_f,2.09671,0.125,0.63632,0.631991
1300,exact,2.04408,0.15625,0,0
1300,kimi,2.05096,0.15625,0,0
1300,srd,2.04347,0.15625,0.347377,0.283564
1300,srd_f,2.05697,0.09375,0.628072,0.614744
1325,exact,2.13082,0.0625,0,0
1325,kimi,2.15397,0.0625,0,0
1325,srd,2.14748,0.0625,0.34491,0.282131
1325,srd_f,2.14052,0.0625,0.673301,0.671552
1350,exact,2.23854,0.125,0,0
1350,kimi,2.21364,0.125,0,0
1350,srd,2.17085,0.15625,0.346959,0.280834
1350,srd_f,2.2099,0.125,0.605688,0.6144
1375,exact,2.10191,0.125,0,0
1375,kimi,2.10948,0.125,0,0
1375,srd,2.10354,0.125,0.360307,0.281005
1375,srd_f,2.11665,0.125,0.597812,0.60103
1400,exact,2.07682,0.125,0,0
1400,kimi,2.08085,0.125,0,0
1400,srd,2.08272,0.125,0.347188,0.280865
1400,srd_f,2.07974,0.125,0.737348,0.715134
1425,exact,2.16968,0.09375,0,0
1425,kimi,2.17186,0.03125,0,0
1425,srd,2.16448,0.03125,0.33385,0.279292
1425,srd_f,2.18159,0.0625,0.675036,0.669797
1450,exact,2.11142,0.0625,0,0
1450,kimi,2.10493,0.0625,0,0
1450,srd,2.10385,0.0625,0.32636,0.28038
1450,srd_f,2.10446,0.0625,0.597255,0.607535
1475,exact,2.18813,0.03125,0,0
1475,kimi,2.17088,0.03125,0,0
1475,srd,2.17133,0.03125,0.322827,0.281217
1475,srd_f,2.17048,0.03125,0.605945,0.591431
1500,exact,2.05366,0.1875,0,0
1500,kimi,2.06132,0.1875,0,0
1500,srd,2.04741,0.1875,0.315495,0.279734
1500,srd_f,2.05099,0.1875,0.583993,0.588986
1525,exact,2.07114,0.1875,0,0
1525,kimi,2.06698,0.1875,0,0
1525,srd,2.06788,0.1875,0.315161,0.279469
1525,srd_f,2.04009,0.1875,0.581407,0.582161
1550,exact,2.07642,0.21875,0,0
1550,kimi,2.07387,0.21875,0,0
1550,srd,2.06879,0.21875,0.313489,0.279775
1550,srd_f,2.07586,0.21875,0.578772,0.579926
1575,exact,2.10244,0.125,0,0
1575,kimi,2.10107,0.125,0,0
1575,srd,2.09571,0.125,0.306962,0.278851
1575,srd_f,2.09255,0.125,0.574792,0.57694
1600,exact,2.17708,0.0625,0,0
1600,kimi,2.17142,0.0625,0,0
1600,srd,2.17394,0.0625,0.305257,0.278596
1600,srd_f,2.1455,0.0625,0.703653,0.702548
1625,exact,2.13257,0.09375,0,0
1625,kimi,2.13519,0.09375,0,0
1625,srd,2.11867,0.09375,0.303111,0.278346
1625,srd_f,2.13057,0.09375,0.587944,0.597038
1650,exact,2.13155,0.09375,0,0
1650,kimi,2.13204,0.09375,0,0
1650,srd,2.11479,0.25,0.307251,0.279449
1650,srd_f,2.11484,0.125,0.593004,0.584906
1675,exact,2.13635,0.09375,0,0
1675,kimi,2.13317,0.09375,0,0
1675,srd,2.10871,0.21875,0.304851,0.279357
1675,srd_f,2.12052,0.09375,0.586027,0.577498
1700,exact,2.09788,0.09375,0,0
1700,kimi,2.09395,0.09375,0,0
1700,srd,2.1122,0.09375,0.312882,0.278586
1700,srd_f,2.03875,0.21875,0.579872,0.574599
1725,exact,2.14062,0.21875,0,0
1725,kimi,2.13518,0.21875,0,0
1725,srd,2.11138,0.21875,0.324285,0.279484
1725,srd_f,2.1256,0.0625,0.582733,0.580758
1750,exact,2.07816,0.0625,0,0
1750,kimi,2.09928,0.0625,0,0
1750,srd,2.0536,0.15625,0.324712,0.279476
1750,srd_f,2.05128,0.15625,0.707586,0.714645
1775,exact,2.04381,0.21875,0,0
1775,kimi,2.05096,0.21875,0,0
1775,srd,2.0237,0.21875,0.328128,0.279669
